Product Name,Product Description,一级分类,Category
HS 3E电池,在保持HS单元、HS平板单元便利性的状态下，安装了参照极。 通过插入参照极，可以只测量正极或负极的电位。,电池部件与材料评估,电池设备>材料评估>HS3E单元
HS单元，HS平板单元,HS单元和HS平板单元是将硬币单元的结构模型化的密闭式二极单元。<br/>组装容易，组装后可以从手套箱中取出。 由于试验材料会被弹簧加压，所以可以再现同样的条件。 另外，评估后的分解也只需拧松螺母即可轻松进行。,电池部件与材料评估,电池设备>材料评估>HS单元，HS平板单元
HS膨胀分析电池,HS膨胀分析单元使锂离子电极电极的体积变化趋势。,电池部件与材料评估,电池设备>材料评估>HS膨胀分析单元格
凹槽机,用于在锂离子电池等罐中开槽(开槽、卷边)的装置。<br/>适用：18650等,研发与测试设备,电池设备>圆柱形单元/18650>凹槽机
半自动卷绕机,"适用于锂离子电池研发的理想卷绕机。两张电极片与从卷材馈送的两张隔膜一起卷绕。<br />
有多种型号可供选择，包括台式单电机卷绕机。<br />
适用：方形电池、18650电池",研发与测试设备,电池设备>圆柱电池/18650>半自动卷绕机
杯成形机,用于包装软包电池的外层包装材料---铝塑包装膜进行成型工序。<br/>其对铝塑膜中的铝层可进行拉深加工的装置。 加压速度、压力可变，可针对各种层压薄膜的加工条件进行优化。 通过变更模具可以进行各种尺寸的拉深加工。<br/>,研发与测试设备,电池设备>软包电池>杯成形机
缝机 /滑车,理想的拖刀工具或缝机，以割裂锂离子电池电极。  切片或滚动缝。<br/>请询问原始尺寸和缝隙尺寸。<br/>用剪切刀片缝。,研发与测试设备,电池设备>圆柱形单元/18650>裁缝机/拖鞋
超声波焊接机,用于超声波焊接锂离子电池等电极的集电箔和电流导入端子极片的装置。<br/>适用：软包电池、18650 电池,研发与测试设备,电池设备>软包电池>超声波焊接机
充放电测试设备,用于锂离子电池等的特性评估的测量设备。可用于电池材料评估、纽扣电池、圆柱型电池、软包电池、棱柱型电池等二次电池的评估，以及大型二次电池的评估等。根据评估对象选择最佳型号。,研发与测试设备,电池设备>纽扣电池>充放电测试设备
带压力表的HS平面电池,带压力表的HS平面电池可以在循环过程中提取产生的气体。,电池部件与材料评估,电池设备>材料评估>带压力表的HS平面电池
电极冲孔机,制作扣式电池用实验的圆盘状电极，冲裁尺寸可以根据客户的规格来制作。请根据具体尺寸进行咨询。<br />,研发与测试设备,电池设备>纽扣电池>电极冲切机
电解液浸渍设备,用于将电解液真空浸渍到锂离子电池等的电极中的夹具。,研发与测试设备,电池设备>软包电池>电解液浸渍设备
电阻焊接机,"电阻焊接机，用于将锂离子电池电极与集流体（极耳）焊接，或将极耳与18650电池罐焊接，或将极耳与组装盖焊接。<br />
适用：纽扣电池、18650电池",研发与测试设备,电池设备>圆柱电池/18650>电阻焊接机
堆叠夹具,用于锂离子电池等电极叠片的夹具。锂离子电池研发的理想选择。<br/>适用：软包电池,研发与测试设备,电池设备>软包电池>堆叠固定装置
分切机 / 分切器,"理想的分切工具或分切机，用于分切锂离子电池电极。支持片材切割或卷材分切。<br />
请咨询原始尺寸和分切尺寸。<br />
采用剪切刀片进行分切。",研发与测试设备,电池设备>方形电池>分切机/分切器
干手套箱,"使用氩气等惰性气体进行封入，可以长期维持高纯度的惰性气体环境。</br>
材质: SUS304</br>
可选配件:净化装置、露点仪、氧气计、电流导入端子等。",研发与测试设备,电池设备>软包电池>干手套箱
混合机,这是用于将锂离子电池等活性物质、粘合剂、溶液等均匀分散混合，制成电极活性物质浆料的机器。 从少量批量到连续混合，品种齐全。,研发与测试设备,电池设备>圆柱电池/18650>混合机
激光焊接机,激光焊接机焊接到焊接金属罐，用金属盖和18650带有正电极选项卡的盖。<br/>适用：Prismatic Cell，18650 Cell,研发与测试设备,电池设备>方形电池>激光焊接机
集电体,"锂离子电池用集电体：<br />
我们提供铜箔（Cu 箔）和铝箔（Al 箔）作为锂离子电池的集电体材料。<br />
这些材料具有优异的导电性能和良好的化学稳定性，适用于正极和负极的制作<br />
<br />
除了上述材料，我们还提供镍箔、钛箔、不锈钢箔、铝蚀刻箔、镍带和铝带。<br />
这些材料可以根据不同的应用需求进行定制，以满足特定电池技术的要求。<br />
我们的集电体材料尺寸范围广泛，厚度从8微米到30微米不等，可以提供A4纸张尺寸或数百米至数千米的卷状材料，以适应您的具体应用需求。<br />
<br />
如果您有特定的技术规格或应用场景，请随时联系我们，我们将根据您的需求提供定制化的解决方案。",电池部件与材料评估,电池部件与材料>材料>集电体
紧凑型片材涂布机,"此设备用于将锂离子电池的活性物质浆料涂布在金属箔片上，使用如贝克涂布器和刮刀的薄膜涂布器。<br />
这消除了涂布的不均匀性和操作员之间的差异。",研发与测试设备,电池设备>方形电池>紧凑型片材涂布机
锂冲压机,用于扣式电池用实验的圆盘状锂金属电极制备， 冲裁尺寸可以根据客户的规格来制作。欢迎定制尺寸。<br/>,研发与测试设备,电池设备>纽扣电池>锂打孔
锂空气电池,HS扁平电池带有两个阀，用于锂空气电池供应，收集和循环气体。,电池部件与材料评估,电池设备>材料评估>锂空气电池
锂离子电池、EDLC用材料,"*活性物质: 锂离子电池（LiCoO2、LiMnO2、LiNiO2、LiFePO4　各类石墨、<br/>　LTO、SiO）、镍氢电池（水酸化镍、水酸化镍--有钴涂层）、<br/>
	其他（EMD、各类导电材料，粘结材料、活性炭）<br/>■隔膜 :多孔PP、薄膜PP、PA 无纺布等、<br/>纤维素隔膜，玻璃纤维隔膜<br/>
	■电解液，电解质等 : LiBF4、LiPF6、LiClO4、LiSO3CF3、LiN(SO2CF3)2、<br/>
	LiN(SO2CF3)(SO2C4F9)　1M LiPF6、EC : DMC=1 : 1 (Vol. %) 1M LiPF6<br/>
且不限于以上各类基础材料，欢迎垂询。",电池部件与材料评估,电池部件与材料>材料>锂离子电池、EDLC用材料
球磨机,与以往的球磨机相比，通过进一步提高自转公转转速，可以用前所未有的巨大力量进行粉碎。容器球的材质有7种，容器的大小也可以根据试样选择材质。 干式粉碎、湿式粉碎都可以。<br />,研发与测试设备,电池设备>圆柱电池/18650>球磨机
全固态电池评估电池,"・在手套箱等惰性气体环境下将测量用样品封入该夹具中，可以在隔绝空气的环境下测量电气特性。<br />
・虽然是密闭容器，但是采用了正负极短路防止结构。<br />
・测试样部分为了耐受高压冲压而实施了淬火加工。",电池部件与材料评估,电池设备>材料评估>全固态电池评估电池
热封机,用于软包封电芯，进行密封包装电池的铝塑复合膜的装置。以压力、时间、温度为调整参数，可进行顶封边，侧封边的密封。,研发与测试设备,电池设备>软包电池>热封机
烧杯电池,是适合进行电池材料评价初期实验的单元。<br/> 容器可以从pyrex、盖子为PTFE、端子为SUS、双电极式、三电极式、四电极式中选择。<br/>容器盖之间可以放入密封圈，密闭简便。,电池部件与材料评估,电池设备>材料评估>烧杯电池
试验线 / 生产线,请根据需求进行咨询。<br />,研发与测试设备,电池设备>圆柱电池/18650>试验线/生产线
手动纽扣电池压接机,"我们提供的手动扣式电池封口机适用于2016、2032型号的纽扣电池。<br />
该设备能够确保模具精度和部件组装精度，从而避免漏液和短路，实现紧密缩颈的工艺要求。<br />
为了确保电池在封口过程中不受外界环境影响，我们推荐在手套箱内进行封口操作。",研发与测试设备,电池设备>纽扣电池>手动纽扣电池压接机
手套箱,使用氩气等惰性气体进行封入，可以长期维持高纯度的惰性气体环境。</br> 材质: SUS304</br> 可选配件:净化装置、露点仪、氧气计、电流导入端子等。,研发与测试设备,电池设备>纽扣电池>干燥手套箱
台式丝网印刷机,机器功能：该机器可以简易地进行锂离子电池等糊料的丝网印刷。<br/>装置外形尺寸：尺寸为L370 × W200 × H255mm，重量为10kg。<br/>最大印刷区域尺寸：最大印刷区域的尺寸为70 × 70mm。<br/>电源要求：电源需求为AC100V 1φ 50/60Hz，电流1A以下。<br/>这台机器适合在桌面上使用，体积小巧，便于操作，能够满足您对锂离子电池糊料丝网印刷的需求。,研发与测试设备,电池设备>纽扣电池>桌面屏幕打印机
涂布机,将锂离子电池等活性物质浆料以均匀的厚度涂布在集电箔上的装置。 紧凑的同时，具备高涂布精度和卷绕精度。 采用抑制脉动的驱动系统，以容易维护的装置结构为特征。,研发与测试设备,电池设备>软包电池>涂布机
小型压延机 / 辊压机,是利用辊间距离调节式轧辊冲压机，进行锂离子电池等电极的高密度化、调厚、各种材料的轧制、压实等的装置。 <br/>电源: AC100V温度:常温-150℃<br/> 主体尺寸重量: W455mm × D230mm × H400mm约20Kg,研发与测试设备,电池设备>圆柱电池/18650>小型辊压机
小型片材涂布机,该设备可以简单地安装贝克式APP涂布头、刮刀、进行薄膜涂布，将锂离子电池用浆料自动涂布在片状金属箔等上的装置。 <br/>在一定速度下进行涂布，可以消除涂布不均及个人差异，较好地制作规定的膜厚。,研发与测试设备,电池设备>软包电池>小型片材涂布机
压接机,用于对锂离子电池等圆筒电池罐和盖子进行封口(铆接)。<br/>使用滑动式模组，可以很容易地放置和取出工件，也确保了安全性。<br/>适用：18650等,研发与测试设备,电池设备>圆柱形单元/18650>压接机
压延机 / 辊压机,"使涂布、干燥后的电极以一定间隔或一定压力的辊之间通过，调厚电极，使活性物质高密度化。<br />
可选:热辊 构成例: OD150mm x 150mmW:3吨温、OD250mm x 250mmW:5吨冷、OD300mm x 450mmW:10吨冷<br />",研发与测试设备,电池设备>纽扣电池>压延机/辊压机
英国THT公司制造的ARC热量计系统,"ARC（绝热型热量计）自1996年以来，一直作为化学物质热反应的基准，被全球广泛使用。<br />
目前，日本宝泉是THERMAL HAZARD TECHNOLOGY公司绝热型热量计的日本官方代理商。<br />
<br />
・通过控制试验室内和试验样品的温差为“ΔT=0”，创造出优异的模拟绝热环境。<br />
・适用于化学物质、纽扣电池到车载电池，能够准确测量并量化发热反应和自发热开始的温度。<br />
・通过测量电池的重要热数据，有助于提高安全性、电池性能、能源效率和循环寿命。<br />
・具备0.01~0.05℃/分钟的发热速度检测灵敏度，能够稳定检测电池释放的热量。<br />
・能够测量锂离子电池中形成的SEI膜的分解开始温度。<br />
・被电池制造商用于批次稳定性评估和质量控制。<br />
・能够测量电池发生失控反应所需的能量，这是传统的钉刺试验无法实现的。",电池部件与材料评估,电池设备>材料评估>英国THT公司制造的ARC热量计系统
纽扣电池拆卸工具,可以分解2016、2025、2032型等纽扣电池。 适用于充放电后从电池中无短路地取出电极等进行电池的材料评价。<br/>,研发与测试设备,电池设备>纽扣电池>纽扣电池拆卸工具
真空密封机,理想的真空密封机，用于锂离子电池，以将小袋牢房密封在真空下。  可用的各种型号。<br/>*电解质填充选项。<br/>*紧凑的密封机适合杂物箱。,研发与测试设备,电池设备>软包电池>真空密封机
自动纽扣电池压封机,这是一款用于锂离子电池研发的2016和2032型号的国际标准自动纽扣电池压封机。以良好的密封性、良好的可重复性和耐用性而闻名。实现2016、2032型的纽扣电池的自动封口、铆接。严格管理模具精度、部件组装精度，实现没有漏液、短路。紧凑的设计适合在手套箱中使用。还提供纽扣电池拆解选项。,研发与测试设备,电池设备>纽扣电池>自动纽扣电池压封机
阻抗测量夹具,是对活性物质和导电性填料的混合物等粉体的电阻进行干式测量的设备。 由于可以在用手动压力机等加压的状态下进行测量，所以即使不电极化也可以推测电极的电阻。,电池部件与材料评估,电池设备>材料评估>阻抗测量夹具
